FID,FOREST,GAZETTED,area,Shape__Area,Shape__Length
1,LOIMA HILLS,Community,95175592.4,95714679.8193359,47898.47980407
2,MOUNT KULAL,Community,457636906.5,461525516.408081,91396.2967775681
3,MARSABIT,Gazetted,157007169.2,158386904.321106,51849.1452406057
4,MOUNT NYIRO,Gazetted,453250718.5,456645699.323853,85054.1498946438
5,NDOTOS RANGE,Gazetted,928202781.6,935079987.626648,137416.846146943
6,SEKERR,Community,78807150.1,79152682.944519,41451.5324139058
7,MATHEWS RANGE,Gazetted,969686872.4,976607534.627533,209058.881893331
8,LELAN,Gazetted,121611521.9,122129472.029633,49035.1567782396
9,LEROGHI,Gazetted,914519875.1,920401872.136444,147350.256375962
10,KAMATIRA,Gazetted,19425295.6,19494588.4608154,30057.8678281487
11,EMBOBUT,Gazetted,216556487.6,217485094.283295,75711.7043077743
12,LELAN,Gazetted,12599780.1,12650397.015686,22682.248037324
13,EXCISION,Gazetted,9118277.8,9151536.86065674,13898.9574865018
14,KAPKANYAR,Gazetted,57587786.9,57794362.8387146,37480.7195055816
15,MOUNT ELGON,Gazetted,159040662.5,159404989.886627,58696.5219411212
16,KIPTABERR,Gazetted,127887863.4,128354204.504272,99054.4425951901
17,KAPOLET,Gazetted,16240099,16294703.4295044,26017.6972779255
18,LELAN,Gazetted,10739990.2,10782541.3008118,18107.0570644273
19,KERRER,Gazetted,22378178.1,22468930.2075195,43196.4543432699
20,KIPKUNURR,Gazetted,158687702.3,159343434.35437,79975.6616764479
21,KAISUNGOR,Gazetted,10872181.3,10915312.7593994,17427.9444115244
22,KITALE TOWNSHIP,Gazetted,1353220.3,1357218.47424316,4903.70639996616
23,MOUNT ELGON,Gazetted,566442565.3,567511876.104248,173701.354030206
24,KITALALE,Gazetted,20695390.4,20751480.0046692,24822.5372096955
25,CHEMUROKOI,Gazetted,39736095.3,39891048.8669434,88986.322584234
26,KITALE TOWNSHIP,Gazetted,935907,938685.466796875,4261.8456393991
27,KITALE TOWNSHIP,Gazetted,1135579.9,1138958.49026489,5615.21565051555
28,TOROPKET,Gazetted,1194787.6,1199479.68301392,6356.6751582864
29,CHEBOIT,Gazetted,25236036.9,25337528.443573,53104.2574732616
30,SOGOTIO,Gazetted,35496961.2,35642987.2409058,37342.6677184887
31,KAPCHEMUTWA,Gazetted,88604095,88961977.9825745,74175.6643598288
32,SEKHENDU,Gazetted,8042565,8062191.51586914,15378.3482358569
33,TURBO,Gazetted,92316442.1,92582707.7030487,80486.2341589284
34,KETNWAN,Gazetted,438274.1,440286.690643311,3803.93299224491
35,SAIMO,Gazetted,7258425.4,7291837.68240356,19260.4147383508
36,TURBO,Gazetted,15776724.9,15819679.7361755,18502.7096335633
37,TUTWOIN,Gazetted,108036.1,108530.943054199,1873.32556556918
38,LUGARI,Gazetted,21926793.3,21982248.3257446,24079.9242792826
39,KABIOK,Community,141597.8,142244.762695313,1805.66429133288
40,CHERIAL,Gazetted,402005.2,403836.866485596,3248.9279828543
41,KESSOP,Gazetted,19676954.3,19753413.4948273,32100.7083617533
42,KATIMOK,Gazetted,20148212.9,20238461.8765411,26365.6431788643
43,PROPOSED EXCISION,Gazetted,130637.2,131222.035339355,1438.56443314363
44,PROPOSED EXCISION,Gazetted,110400,110895.621582031,1509.72957317488
45,EXCISED ?,Gazetted,172748.9,173514.657821655,2167.38411181702
46,PROPOSED EXCISION,Gazetted,103327.1,103791.895782471,1314.25388688926
47,PROPOSED EXCISION,Gazetted,34327.7,34480.3088684082,1190.49295617346
48,SOKTA,Gazetted,1700806.9,1708505.46987915,5883.1222815699
49,MOSEGEM,Gazetted,2044857.8,2054010.77282715,9628.51506419493
50,PEMWAI,Gazetted,1321101.6,1326942.66903687,8178.46994625075
51,ELDORET,Gazetted,1128275.3,1132092.20089722,5612.28204024743
52,PROPOSED EXCISION,Gazetted,166533.2,167268.723571777,1815.10682966026
53,PROPOSED EXCISION,Gazetted,10089.8,10134.8856201172,522.361030272857
54,KAPTAGAT,Gazetted,129660593.3,130159702.615814,57089.3771107308
55,CHEBARTIGON,Gazetted,1013501.4,1017952.36566162,4873.89891593284
56,ELDORET,Gazetted,388693,390005.530502319,3174.50965763785
57,ELDORET PROPOSED EXCISION,Gazetted,85833.2,86122.3911437988,1663.44707770568
58,MUKOGODO,Gazetted,298028171.4,300010731.819168,70120.1232039948
59,MAROP,Gazetted,2109741.2,2119186.85095215,5639.72248597609
60,TARESSIA,Gazetted,3748347.8,3757867.03211975,8151.69976874171
61,TARAMBAS,Gazetted,4739226.3,4760342.71450806,10602.9620130837
62,MLABA,Gazetted,7209830.9,7226588.06311035,17233.5267768714
63,KOTIM RANGE,Community,33166584.8,33396477.9812469,24999.5529139776
64,KINYO,Gazetted,3383015.2,3397959.59396362,12599.0175127695
65,NORTH NANDI,Gazetted,111461982.4,111753069.154274,86631.8438376631
66,KAPASRET,Gazetted,10076086.6,10107716.2688293,13780.0587028799
67,KABARAK,Gazetted,13917752.2,13980229.7273102,21555.2332455709
68,OL LENGISHU,Community,46530745.6,46852483.3482056,35662.6182694886
69,OL ARABEL,Gazetted,97098667.7,97606353.9373016,61753.9167870219
70,BUNYALA,Gazetted,8082576.7,8098003.9864502,15618.414867294
71,KIMOJOCH,Gazetted,7607682.1,7641363.62768555,17849.3878698567
72,KISERE,Community,4568749,4579707.56152344,8720.98296496831
73,NGAIA,Gazetted,42927797.5,43241104.9647675,34766.2212050564
74,NORTH NANDI,Gazetted,1961046.7,1966269.26585388,6939.6687728688
75,LARIAK,Gazetted,49731465.1,50000420.7692032,39893.0801058802
76,MUKOBE,Gazetted,7455108.6,7488829.13366699,15489.4997406992
77,BUYANGU,Gazetted,38574879.6,38663513.3075943,33411.2814034748
78,KAKAMEGA,Gazetted,178368503.4,178791295.290596,81002.4771882816
79,SEKENWO,Gazetted,8608822.9,8647257.9874649,19085.0010610466
80,KIPKABUS,Gazetted,67496687.4,67756365.8000488,62134.700674515
81,CHEPKUCHUMO,Gazetted,3265867.1,3280658.54891205,8100.75440585493
82,MOTUNYI HILL,Community,19636646.8,19771679.2952728,21340.0215457848
